Sample,Area (µm2),Mean
Smooth,1.16408,6029
Smooth,1.16408,5697
Smooth,4.65631,5734.5
Smooth,53.54755,9785.73913
Smooth,16.29708,6906.35714
Smooth,19.78931,8759.35294
Smooth,1.16408,5686
Smooth,1.16408,5483
Smooth,77.99318,11842.08955
Smooth,1.16408,6679
Smooth,1.16408,5578
Smooth,18.62524,11716.8125
Smooth,1.16408,5982
Smooth,1.16408,5425
Smooth,3.49223,6124.66667
Smooth,60.53202,9783.28846
Smooth,89.63395,13098.46753
Smooth,9.31262,7476.875
Smooth,2.32815,5854
Smooth,2.32815,6334.5
Smooth,4.65631,6218.75
Smooth,1.16408,5457
Smooth,6.98446,7171
Smooth,1.16408,8111
Smooth,2.32815,6316
Smooth,27.93785,8583.125
Smooth,161.80674,15673.53957
Smooth,8.14854,7131.71429
Smooth,10.4767,8049.44444
Smooth,2.32815,6523.5
Smooth,4.65631,7379
Smooth,1.16408,5660
Smooth,58.20386,6844.3
Smooth,11.64077,6985.3
Smooth,1.16408,6986
Smooth,4.65631,6228.5
Smooth,1.16408,5711
Smooth,1.16408,7093
Smooth,9.31262,8033.875
Smooth,4.65631,6628
Smooth,1.16408,5589
Smooth,3.49223,6062.66667
Smooth,3.49223,6039.33333
Smooth,1.16408,5753
Smooth,1.16408,5463
Smooth,1.16408,5582
Smooth,34.92232,8781.5
Smooth,1.16408,6519
Smooth,6.98446,6732
Smooth,11.64077,6628.7
Smooth,1.16408,5494
Smooth,6.98446,7042.5
Smooth,40.7427,9771
Smooth,24.44562,7730.38095
Smooth,2.32815,5968.5
Smooth,5.82039,6638.4
Smooth,72.17279,13560.24194
Smooth,24.44562,8611.61905
Smooth,1.16408,5613
Smooth,4.65631,6735
Smooth,2.32815,6456.5
Smooth,1.16408,6467
Smooth,13.96893,9900.16667
Smooth,4.65631,6649.75
Smooth,1.16408,5598
Smooth,1.16408,6390
Smooth,2.32815,6436.5
Smooth,1.16408,5793
Smooth,3.49223,6489
Smooth,1.16408,5680
Smooth,4.65631,6159.25
Smooth,1.16408,6163
Smooth,1.16408,5689
Smooth,79.15725,7910.63235
Smooth,2.32815,5843
Smooth,1.16408,5451
Smooth,3.49223,5713
Smooth,1.16408,5520
Smooth,90.79802,13958.74359
Smooth,71.00871,12849.21311
Smooth,5.82039,7076
Smooth,1.16408,5722
Smooth,6.98446,7652.33333
Smooth,101.27472,11743.57471
Smooth,8.14854,6109.85714
Smooth,1.16408,5657
Smooth,1.16408,5589
Smooth,1.16408,5606
Smooth,2.32815,5623.5
Smooth,1.16408,6397
Smooth,5.82039,7540.6
Smooth,2.32815,5954
Smooth,18.62524,7673.5
Smooth,3.49223,6824
Smooth,1.16408,6250
Smooth,1.16408,5517
Smooth,1.16408,6197
Smooth,1.16408,5870
Smooth,1.16408,6234
Smooth,1.16408,5935
Smooth,2.32815,7327
Smooth,4.65631,7144.5
Smooth,1.16408,5669
Smooth,1.16408,6390
Smooth,1.16408,6186
Smooth,59.36794,13374.09804
Smooth,3.49223,7141.33333
Smooth,2.32815,5653.5
Smooth,1.16408,5592
Smooth,1.16408,6272
Smooth,68.68056,10869.94915
Smooth,72.17279,7991.67742
Smooth,1.16408,5530
Smooth,1.16408,6601
Smooth,3.49223,6825.66667
Smooth,11.64077,6546.1
Smooth,16.29708,8007.14286
Smooth,8.14854,6218
Smooth,101.27472,15133.55172
Smooth,1.16408,7625
Smooth,2.32815,5630
Smooth,5.82039,6720.8
Smooth,29.10193,9145.92
Smooth,64.02425,10336.41818
Smooth,3.49223,6633.66667
Smooth,37.25047,7921.96875
Smooth,5.82039,6607.8
Smooth,5.82039,7067.8
Smooth,22.11747,8621.78947
Smooth,1.16408,5505
Smooth,10.4767,7001.33333
Smooth,3.49223,7045.66667
Smooth,17.46116,7323.73333
Smooth,8.14854,6873.42857
Smooth,3.49223,6311.66667
Smooth,9.31262,6472.25
Smooth,1.16408,5791
Smooth,4.65631,7666
Smooth,5.82039,6849.6
Smooth,3.49223,7461
Smooth,38.41455,8708.39394
Smooth,4.65631,6208.25
Smooth,3.49223,7027.33333
Smooth,3.49223,7017.66667
Smooth,1.16408,6211
Smooth,15.133,8990.07692
Smooth,1.16408,5500
Smooth,23.28154,8135.35
Smooth,1.16408,6466
Smooth,9.31262,7753.25
Smooth,1.16408,7437
Smooth,1.16408,6115
Smooth,1.16408,5802
Smooth,1.16408,5557
Smooth,1.16408,5501
Smooth,1.16408,5457
Smooth,4.65631,6044
Smooth,4.65631,8013.75
Smooth,1.16408,5476
Smooth,1.16408,5535
Smooth,25.6097,7994.09091
Smooth,1.16408,5758
Smooth,2.32815,6997.5
Smooth,3.49223,6571.66667
Smooth,8.14854,5855.85714
Smooth,1.16408,6165
Smooth,6.98446,6448.66667
Smooth,3.49223,5865.33333
Smooth,32.59416,15041.28571
Smooth,3.49223,7585.66667
Smooth,8.14854,7825.14286
Smooth,1.16408,6009
Smooth,2.32815,7041
Smooth,3.49223,6795
Smooth,1.16408,5486
Smooth,16.29708,7458
Smooth,1.16408,5467
Smooth,2.32815,5671.5
Smooth,9.31262,6848
Smooth,2.32815,5466
Smooth,5.82039,7975.4
Smooth,31.43009,7286.7037
Smooth,1.16408,5425
Smooth,3.49223,6202.66667
Smooth,1.16408,5510
Smooth,3.49223,5824.66667
Smooth,2.32815,6487
Smooth,1.16408,5774
Smooth,1.16408,6306
Smooth,115.24365,10421.54545
Smooth,1.16408,5781
Smooth,1.16408,5738
Smooth,1.16408,5966
Smooth,3.49223,7666
Smooth,1.16408,5551
Smooth,6.98446,6288.83333
